Date,Actual,SMA,Close,Vote_Score,Position,Strat_Ret
2023-01-11,0.04911903051513352,16897.0916,17943.26,3,2.0,0.09823806103026704
2023-01-12,0.055893048509553726,16941.9618,18846.62,3,2.0,0.11178609701910745
2023-01-13,0.050146827684418194,17008.583,19930.01,3,2.0,0.10029365536883639
2023-01-14,-0.003988871656173911,17097.238599999997,20954.92,3,2.0,-0.007977743312347822
2023-01-15,0.014939473685250641,17185.4972,20871.5,3,2.0,0.029878947370501282
2023-01-16,-0.0024026215431750143,17280.6346,21185.65,3,2.0,-0.0048052430863500285
2023-01-17,-0.021876742420547574,17379.0726,21134.81,3,2.0,-0.04375348484109515
2023-01-18,0.018880985981668756,17463.771399999998,20677.47,3,2.0,0.03776197196333751
2023-01-19,0.0729936990967774,17541.930399999997,21071.59,3,2.0,0.1459873981935548
2023-01-20,0.0051193975233281225,17655.7272,22667.21,3,2.0,0.010238795046656245
2023-01-21,-0.0033267835189935463,17769.5434,22783.55,3,2.0,-0.006653567037987093
2023-01-22,0.009142992475145141,17885.997,22707.88,3,2.0,0.018285984950290282
2023-01-23,-0.012450835212587299,18002.212000000003,22916.45,3,2.0,-0.024901670425174598
2023-01-24,0.018736119160646474,18115.5428,22632.89,3,2.0,0.03747223832129295
2023-01-25,-0.0022265840828143047,18234.9824,23060.94,3,2.0,-0.004453168165628609
2023-01-26,0.0027996835390564157,18358.4426,23009.65,3,2.0,0.005599367078112831
2023-01-27,-0.002237034511835935,18475.4438,23074.16,3,2.0,-0.00447406902367187
2023-01-28,0.03078192520585222,18593.3246,23022.6,3,2.0,0.06156385041170444
2023-01-29,-0.0393514588233174,18725.620799999997,23742.3,3,2.0,-0.0787029176466348
2023-01-30,0.013013096440887308,18840.4428,22826.15,3,2.0,0.026026192881774615
2023-01-31,0.025932253556535844,18958.748799999998,23125.13,3,2.0,0.05186450711307169
2023-02-01,-0.010322486493569127,19077.908,23732.66,3,2.0,-0.020644972987138254
2023-02-02,-0.002431330219096245,19191.623799999998,23488.94,3,2.0,-0.00486266043819249
2023-02-03,-0.004493712909870792,19313.135,23431.9,3,2.0,-0.008987425819741584
2023-02-04,-0.017031632139821246,19447.0294,23326.84,3,2.0,-0.03406326427964249
2023-02-05,-0.007457673107036351,19570.1572,22932.91,3,2.0,-0.014915346214072702
2023-02-06,0.020779401555923737,19690.6434,22762.52,3,2.0,0.041558803111847474
2023-02-07,-0.01201050031064175,19826.675,23240.46,3,2.0,-0.0240210006212835
2023-02-08,-0.052141700352517424,19948.0238,22963.0,3,2.0,-0.10428340070503485
2023-02-09,-0.007883685677702989,20047.4574,21796.35,3,2.0,-0.015767371355405978
2023-02-10,0.010916288456747329,20143.5326,21625.19,3,2.0,0.021832576913494658
2023-02-11,-0.0036204886304742638,20245.2136,21862.55,3,2.0,-0.0072409772609485275
2023-02-12,-0.00043941906477148134,20344.162,21783.54,3,2.0,-0.0008788381295429627
2023-02-13,0.01936986197704005,20442.9992,21773.97,3,2.0,0.0387397239540801
2023-02-14,0.09138049119365944,20548.608200000002,22199.84,1,1.0,0.09138049119365944
2023-02-15,-0.033711393282664585,20700.962,24324.05,1,1.0,-0.033711393282664585
2023-02-16,0.043770785975072134,20840.3702,23517.72,1,1.0,0.043770785975072134
2023-02-17,0.002519415209186526,20999.1002,24569.97,1,1.0,0.002519415209186526
2023-02-18,-0.014730846119734737,21159.5896,24631.95,1,1.0,-0.014730846119734737
2023-02-19,0.023230285350592204,21314.1768,24271.76,1,1.0,0.023230285350592204
2023-02-20,-0.015825264394064464,21478.6858,24842.2,1,1.0,-0.015825264394064464
2023-02-21,-0.011101316717520895,21634.2716,24452.16,1,1.0,-0.011101316717520895
2023-02-22,-0.01005818454576867,21784.4122,24182.21,-1,0.0,-0.0
2023-02-23,-0.032041028461487375,21926.209,23940.2,1,1.0,-0.032041028461487375
2023-02-24,-0.0012178923770018468,22053.277799999996,23185.29,3,2.0,-0.0024357847540036935
2023-02-25,0.01703161058168721,22177.4062,23157.07,3,2.0,0.03406322116337442
2023-02-26,-0.0026679753126395687,22309.631800000003,23554.85,3,2.0,-0.005335950625279137
2023-02-27,-0.015033201397948169,22436.916999999998,23492.09,-1,0.0,-0.0
2023-02-28,0.020842934243896633,22556.1832,23141.57,3,2.0,0.041685868487793265
2023-03-01,-0.006949915104728103,22679.949399999998,23628.97,-1,0.0,-0.0
2023-03-02,-0.048503100831987105,22790.3906,23465.32,-3,-1.0,0.048503100831987105
2023-03-03,-0.00034764393289772876,22860.545,22354.34,1,1.0,-0.00034764393289772876
2023-03-04,0.003737206709584325,22908.876200000002,22346.57,-1,0.0,0.0
2023-03-05,-0.000902760617454153,22938.382599999997,22430.24,-3,-1.0,0.000902760617454153
2023-03-06,-0.009506895048812334,22969.152599999998,22410.0,-1,0.0,-0.0
2023-03-07,-0.022437472391169118,22989.3988,22197.96,-3,-1.0,0.022437472391169118
2023-03-08,-0.06388169730657518,23000.811400000002,21705.44,-1,0.0,-0.0
2023-03-09,-0.010442692083692516,22994.506400000002,20362.22,-1,0.0,-0.0
2023-03-10,0.015024507857790617,22976.088399999997,20150.69,1,1.0,0.015024507857790617
2023-03-11,0.07264804225261712,22931.858799999998,20455.73,-1,0.0,0.0
2023-03-12,0.0918599391330703,22916.13,21997.11,3,1.0,0.0918599391330703
2023-03-13,0.022833529552860565,22944.242000000002,24113.48,3,2.0,0.04566705910572113
2023-03-14,-0.015718497080592527,22979.321200000002,24670.41,-1,0.0,-0.0
2023-03-15,0.028940970979109415,23012.376599999996,24285.66,-3,-1.0,-0.028940970979109415
2023-03-16,0.0915382366931726,23051.1334,24998.78,-1,0.0,0.0
2023-03-17,-0.017960573857961144,23138.843000000004,27395.13,-1,0.0,-0.0
2023-03-18,0.03883042537639571,23215.5096,26907.49,-1,0.0,0.0
2023-03-19,-0.009188807742989342,23314.515,27972.87,-1,0.0,-0.0
2023-03-20,0.013917915171174959,23394.0092,27717.01,-1,0.0,0.0
2023-03-21,-0.030875102511240874,23499.595599999997,28105.47,-1,0.0,-0.0
2023-03-22,0.037610483876124916,23582.1124,27250.97,-3,-1.0,-0.037610483876124916
2023-03-23,-0.030170604453767236,23673.367400000003,28295.41,1,1.0,-0.030170604453767236
2023-03-24,0.00030882732901125104,23752.678,27454.47,1,1.0,0.00030882732901125104
2023-03-25,0.01822496367160109,23833.299,27462.95,1,1.0,0.01822496367160109
2023-03-26,-0.030610293346195108,23926.123199999998,27968.05,1,1.0,-0.030610293346195108
2023-03-27,0.005007183266062188,24009.9632,27124.91,3,2.0,0.010014366532124376
2023-03-28,0.039117969089514086,24099.9342,27261.07,3,2.0,0.07823593817902817
2023-03-29,-0.011354726247076305,24202.097,28348.6,3,2.0,-0.02270945249415261
2023-03-30,0.01546498944228887,24303.407600000002,28028.53,1,1.0,0.01546498944228887
2023-03-31,-0.00044379564413691034,24436.7878,28465.36,1,1.0,-0.00044379564413691034
2023-04-01,-0.009920151427765776,24573.3386,28452.73,3,2.0,-0.019840302855531552
2023-04-02,-0.01328794166506373,24699.525,28171.87,1,1.0,-0.01328794166506373
2023-04-03,0.01306073888880465,24819.854199999998,27800.0,1,1.0,0.01306073888880465
2023-04-04,0.00016117729039769833,24947.6842,28165.47,3,2.0,0.00032235458079539665
2023-04-05,-0.0048462984303144436,25067.087600000003,28170.01,1,1.0,-0.0048462984303144436
2023-04-06,-0.004558093631494347,25141.283000000003,28033.82,1,1.0,-0.004558093631494347
2023-04-07,0.0011478259451552448,25229.0552,27906.33,1,1.0,0.0011478259451552448
2023-04-08,0.013699657615021985,25296.423400000003,27938.38,3,2.0,0.02739931523004397
2023-04-09,0.04533402443678367,25370.2596,28323.76,1,1.0,0.04533402443678367
2023-04-10,0.018820778757940998,25477.571199999995,29637.34,1,1.0,0.018820778757940998
2023-04-11,-0.010396427448109471,25584.7356,30200.42,3,2.0,-0.020792854896218942
2023-04-12,0.01612230751029388,25693.4538,29888.07,3,2.0,0.03224461502058776
2023-04-13,0.003060121449609667,25817.2864,30373.84,1,1.0,0.003060121449609667
2023-04-14,-0.005656179900882534,25947.821,30466.93,1,1.0,-0.005656179900882534
2023-04-15,0.00031551290745832457,26090.017000000003,30295.09,3,2.0,0.0006310258149166491
2023-04-16,-0.029277429572032238,26232.9686,30304.65,3,2.0,-0.058554859144064476
2023-04-17,0.031761089816271876,26350.477,29430.27,3,2.0,0.06352217963254375
2023-04-18,-0.053510138704066394,26488.2354,30380.01,3,2.0,-0.10702027740813279
2023-04-19,-0.01940603406257386,26601.346,28797.1,3,2.0,-0.03881206812514772
2023-04-20,-0.03534405077145466,26693.6396,28243.65,3,2.0,-0.07068810154290932
2023-04-21,0.02011734939753183,26769.59,27262.84,3,2.0,0.04023469879506366
2023-04-22,-0.008166817188415205,26878.8402,27816.85,3,2.0,-0.01633363437683041
2023-04-23,-0.002891754748673293,26983.7208,27590.6,3,2.0,-0.005783509497346586
2023-04-24,0.028306339200071688,27085.3346,27510.93,3,2.0,0.056612678400143376
2023-04-25,0.004037661120266265,27203.1504,28300.79,-1,0.0,0.0
2023-04-26,0.0365394056503652,27327.497000000003,28415.29,1,1.0,0.0365394056503652
2023-04-27,-0.005480032501360423,27482.8436,29472.77,-1,0.0,-0.0
2023-04-28,-0.0027757795765594477,27661.833199999997,29311.7,-1,0.0,-0.0
2023-04-29,9.441762633578723e-05,27843.428399999997,29230.45,1,1.0,9.441762633578723e-05
2023-04-30,-0.040665991207925405,28018.978,29233.21,-3,-1.0,0.040665991207925405
2023-05-01,0.021206996165195773,28140.400999999998,28068.26,-3,-1.0,-0.021206996165195773
2023-05-02,0.012351095602062214,28231.528599999998,28669.86,-1,0.0,0.0
2023-05-03,-0.006497982228264741,28318.6436,29026.16,-1,0.0,-0.0
2023-05-04,0.02288090465334252,28409.693600000002,28838.16,1,1.0,0.02288090465334252
2023-05-05,-0.02253281543081646,28499.8302,29505.61,1,1.0,-0.02253281543081646
2023-05-06,-0.01459915625864984,28528.891599999995,28848.2,1,1.0,-0.01459915625864984
2023-05-07,-0.027143379896367045,28559.3438,28430.1,-1,0.0,-0.0
2023-05-08,-0.0014655392981985705,28553.2622,27668.79,-1,0.0,-0.0
2023-05-09,-0.0010690420309266652,28551.4874,27628.27,1,1.0,-0.0010690420309266652
2023-05-10,-0.0230965139643067,28541.353000000003,27598.75,-3,-1.0,0.0230965139643067
2023-05-11,-0.00645829172740886,28535.705999999995,26968.62,-1,0.0,-0.0
2023-05-12,-0.0007366023552270455,28505.697999999997,26795.01,-1,0.0,-0.0
